rate_percent,opt1_avg,opt1_ok_runs,opt2_avg,opt2_ok_runs,opt3_avg,opt3_ok_runs
0,0.114569,5,0.104301,5,0.114790,5
5,0.114637,5,0.114592,5,0.104819,5
10,0.114532,5,0.114602,5,0.114648,5
15,0.114761,5,0.114854,5,0.124790,5
20,0.114589,5,0.114659,5,0.114541,5
25,0.114703,5,0.114718,5,0.114645,5
30,0.104345,5,0.114821,5,0.114495,5
35,0.114604,5,0.114686,5,0.125106,5
40,0.114874,5,0.124624,5,0.114797,5
45,0.114559,5,0.114422,5,0.114820,5
50,0.104495,5,0.124788,5,0.134616,5
55,0.114894,5,0.124692,5,0.144615,5
60,0.124664,5,0.154682,5,0.164895,5
65,0.114624,5,0.164878,5,0.164653,5
70,0.114891,5,0.164665,5,0.204918,5
75,0.114388,5,0.174910,5,0.205066,5
80,0.105432,5,0.184960,5,0.214946,5
85,0.114455,5,0.204847,5,0.274865,5
90,0.114468,5,0.214717,5,0.335297,5
95,0.104732,5,0.264740,5,0.455191,5
